,cases,deaths,recovered,hospitalized,transmission_rate,mutation_count,severity_level,case_fatality_rate,hospitalized_rate,recovery_rate,variant_prevalence,mutation_transmission_ratio,mutation_transmission_interaction,variant_Beta,variant_Delta,variant_Epsilon,variant_Gamma,variant_Lambda,variant_Mu,variant_Omicron,variant_Theta,variant_Zeta
29,2691,3809,22815,756,2.53,15,Mild,141.54589371980677,28.093645484949832,847.8260869565216,0.05313919130879004,5.928853754940712,37.949999999999996,0,1,0,0,0,0,0,0,0
939,77503,1857,94963,9953,2.61,17,Severe,2.3960362824664854,12.842083532250365,122.5281602002503,1.6548218039421667,6.513409961685824,44.37,0,0,0,0,0,1,0,0,0
215,54969,1987,58276,4066,0.83,18,Mild,3.6147646855500373,7.396896432534701,106.01611817569902,1.0936194688099903,21.686746987951807,14.94,0,0,0,0,0,0,0,0,0
911,62097,2505,34803,153,1.52,10,Moderate,4.034011304893957,0.24638871443064883,56.04618580607759,1.3258773151929182,6.578947368421052,15.2,0,0,1,0,0,0,0,0,0
257,6681,3907,357,7126,2.55,7,Critical,58.47926957042359,106.66067953899116,5.343511450381679,0.14287373157060382,2.7450980392156863,17.849999999999998,0,0,0,1,0,0,0,0,0
319,17643,2972,4815,2997,2.84,1,Mild,16.84520773111149,16.98690698860738,27.291276993708554,0.33004998172312916,0.35211267605633806,2.84,1,0,0,0,0,0,0,0,0
591,75874,2308,1659,4655,1.75,13,Mild,3.0418852307773414,6.135171468487228,2.186519756438306,1.516470030959381,7.428571428571429,22.75,0,1,0,0,0,0,0,0,0
913,20232,1874,21366,3238,1.83,7,Mild,9.262554369315936,16.004349545274813,105.60498220640568,0.40437068912104535,3.8251366120218577,12.81,0,0,1,0,0,0,0,0,0
919,31981,3825,64477,4195,1.02,4,Mild,11.960226384415746,13.117163315718708,201.61033113411088,0.6362685192019556,3.9215686274509802,4.08,0,0,0,0,0,0,1,0,0
557,62543,2068,93524,9275,2.38,17,Critical,3.3065251107238223,14.82979709959548,149.53551956254097,1.2455154930194536,7.142857142857143,40.46,0,0,0,0,0,1,0,0,0
151,2697,4804,77535,6656,1.29,7,Moderate,178.1238413051539,246.79273266592512,2874.860956618465,0.053657365194574105,5.426356589147287,9.030000000000001,0,0,0,0,0,1,0,0,0
634,36404,3360,32493,3163,1.26,19,Moderate,9.229754971981102,8.688605647731018,89.25667509064938,0.7772877559670031,15.079365079365079,23.94,0,0,0,0,0,0,0,1,0
96,6516,4967,80407,1488,1.0,8,Severe,76.22774708410067,22.83609576427256,1233.9932473910376,0.15895125348529165,8.0,8.0,0,0,0,0,0,0,0,0,1
14,1998,215,15785,4825,2.28,17,Moderate,10.76076076076076,241.4914914914915,790.04004004004,0.039789264267030174,7.4561403508771935,38.76,0,0,0,0,1,0,0,0,0
374,66362,4061,17018,9866,1.47,11,Critical,6.119465959434616,14.8669419245954,25.64419396642657,1.6188341135345188,7.482993197278912,16.169999999999998,0,0,0,0,0,1,0,0,0
259,64146,2964,68945,3520,1.64,14,Moderate,4.620709007576466,5.487481682411997,107.48137062326568,1.2633773215636603,8.536585365853659,22.959999999999997,1,0,0,0,0,0,0,0,0
276,87545,508,13305,8900,2.84,16,Critical,0.5802730024558799,10.166200239876636,15.19789822377063,1.724228597516457,5.633802816901409,45.44,0,0,0,0,0,0,0,0,0
296,4478,2230,44091,9664,1.16,6,Severe,49.7990174184904,215.81062974542203,984.6136668155426,0.0890907235229154,5.172413793103448,6.959999999999999,0,0,0,0,0,0,1,0,0
223,51731,1988,75369,2946,1.4,4,Critical,3.842956834393304,5.694844483965127,145.69407125321374,1.0215323320680112,2.857142857142857,5.6,1,0,0,0,0,0,0,0,0
967,56647,1230,2085,533,2.0,12,Mild,2.171341818631172,0.9409147880735078,3.6806891803625965,1.381846478849189,6.0,24.0,1,0,0,0,0,0,0,0,0
363,22532,3168,55848,4258,0.96,19,Severe,14.060003550505948,18.89756790342624,247.86082016687376,0.45034007351104166,19.791666666666668,18.24,0,0,0,0,1,0,0,0,0
107,88069,1196,63959,8220,1.05,10,Critical,1.3580260931769408,9.333590707286332,72.62373820527087,1.6475186669145985,9.523809523809524,10.5,0,0,1,0,0,0,0,0,0
193,51975,289,19506,5462,1.72,19,Mild,0.5560365560365561,10.50889850889851,37.52958152958153,1.0340532280266923,11.046511627906977,32.68,0,0,0,0,0,0,0,0,0
401,51749,207,91798,6307,1.79,10,Moderate,0.40000772961796366,12.187675124156987,177.390867456376,1.1049297902300967,5.58659217877095,17.9,0,0,0,0,0,0,0,0,0
402,34710,2633,75936,9613,2.45,16,Moderate,7.585710169979833,27.695188706424663,218.77268798617112,0.6648988390226467,6.530612244897958,39.2,0,0,0,0,0,1,0,0,0
407,77017,4764,72423,7997,0.51,13,Critical,6.185647324616643,10.383421841931002,94.03508316345743,1.6470148457376432,25.49019607843137,6.63,0,0,0,0,0,0,0,1,0
579,75065,1200,78966,6934,0.64,4,Moderate,1.5986145340704723,9.237327649370545,105.19682941450743,1.6027663279217417,6.25,2.56,0,0,0,0,0,0,0,0,0
196,49537,278,46972,6487,1.23,5,Mild,0.5611966812685467,13.095262127298787,94.82205220340352,1.0576998013223116,4.065040650406504,6.15,0,0,0,0,0,0,1,0,0
125,63378,3430,63450,9766,0.98,12,Moderate,5.411972608791695,15.409132506548012,100.11360408974723,1.2621441394974164,12.244897959183673,11.76,0,1,0,0,0,0,0,0,0
510,91469,1911,53268,7399,1.58,18,Moderate,2.089232417540369,8.089079360220403,58.2361237140452,1.9530198261330018,11.39240506329114,28.44,0,0,0,1,0,0,0,0,0
366,99391,887,86257,3563,0.7,15,Severe,0.8924349287158797,3.584831624593776,86.78552384018674,1.9039170414664324,21.42857142857143,10.5,0,0,1,0,0,0,0,0,0
608,46199,484,86750,6064,2.21,7,Moderate,1.0476417238468365,13.12582523431243,187.77462715643196,0.909905042854107,3.167420814479638,15.469999999999999,0,0,0,0,1,0,0,0,0
208,71463,1673,57465,2323,1.35,8,Mild,2.3410716034871193,3.2506331948001064,80.41224129969355,1.5282421013665708,5.925925925925926,10.8,0,0,0,0,0,0,0,1,0
283,11290,2120,43969,5740,2.48,14,Mild,18.777679362267495,50.8414526129318,389.45084145261296,0.22483523201940475,5.645161290322581,34.72,0,0,0,1,0,0,0,0,0
909,57234,570,40592,7443,1.77,5,Severe,0.9959115211238075,13.00450781004298,70.92287800957473,1.3961657522985238,2.824858757062147,8.85,0,0,0,1,0,0,0,0,0
466,45834,2426,18069,3442,1.92,9,Critical,5.293013919797531,7.5097089496880045,39.42269930619191,0.9801638396657769,4.6875,17.28,0,0,0,0,0,0,0,1,0
574,39520,2591,1864,5617,2.15,11,Severe,6.556174089068826,14.213056680161943,4.716599190283401,0.7393059727766289,5.116279069767442,23.65,0,0,0,0,0,0,0,0,1
514,79774,493,58051,3807,1.96,7,Critical,0.6179958382430366,4.772231554140446,72.76932333843106,1.5886630468658987,3.5714285714285716,13.719999999999999,0,0,0,1,0,0,0,0,0
499,7169,1673,80122,9509,1.75,19,Mild,23.336588087599385,132.64053563955923,1117.6175198772492,0.1373281410819174,10.857142857142858,33.25,0,0,0,1,0,0,0,0,0
712,21381,4177,41397,1920,1.07,9,Moderate,19.53603666806978,8.979935456713903,193.61582713624244,0.4222107206886807,8.411214953271028,9.63,0,0,0,0,0,0,0,0,0
696,32892,2482,16478,9724,2.55,17,Mild,7.545907819530585,29.56341967651709,50.09728809436945,0.7033981108846431,6.666666666666667,43.349999999999994,0,0,0,0,0,0,1,0,0
661,24145,820,52053,9027,1.71,1,Moderate,3.3961482708635327,37.386622489128186,215.5850072478774,0.47679144338563195,0.5847953216374269,1.71,0,0,0,0,1,0,0,0,0
719,24422,3804,3798,2767,1.78,3,Moderate,15.576119891900744,11.329948407173859,15.551551879452951,0.48635305902372916,1.6853932584269662,5.34,0,1,0,0,0,0,0,0,0
64,30190,882,80122,653,2.57,8,Mild,2.921497184498178,2.162967870155681,265.39251407750913,0.603398136840864,3.11284046692607,20.56,1,0,0,0,0,0,0,0,0
706,94854,2339,57112,1327,1.86,13,Mild,2.4658949543508975,1.3989921352815908,60.21042865878087,1.7744465774735416,6.989247311827957,24.18,1,0,0,0,0,0,0,0,0
733,59866,670,46468,3472,2.54,4,Severe,1.1191661377075468,5.7996191494337355,77.62001804028998,1.4603707398941788,1.574803149606299,10.16,0,0,0,0,0,0,0,0,1
691,11690,3764,35783,8005,2.21,12,Moderate,32.198460222412315,68.47733105218136,306.09923011120617,0.2851657693743185,5.429864253393665,26.52,0,0,0,0,1,0,0,0,0
580,46940,4409,35749,9226,1.36,13,Severe,9.392841925862804,19.654878568385172,76.15892628887943,1.0038157401473047,9.558823529411764,17.68,0,0,0,0,0,0,0,0,1
585,19051,1029,35789,9307,2.29,16,Severe,5.401291270799433,48.85307857855231,187.85890504435463,0.38076640957122554,6.986899563318778,36.64,0,0,0,0,1,0,0,0,0
862,87797,949,73972,2130,1.77,13,Critical,1.080902536533139,2.4260510040206387,84.25344829549985,1.7337278258408917,7.344632768361582,23.01,0,0,0,0,0,0,0,1,0
369,37483,3951,34534,4828,2.68,10,Critical,10.540778486247099,12.880505829309286,92.13243336979431,0.7180179539926782,3.731343283582089,26.8,0,0,0,0,0,1,0,0,0
577,20319,1571,16558,9481,2.25,3,Critical,7.731679708647079,46.66076086421576,81.49023081844578,0.4956615284787662,1.3333333333333333,6.75,0,0,0,1,0,0,0,0,0
743,17722,1503,14808,4713,1.1,15,Mild,8.480984087574765,26.594063875409095,83.55716059135537,0.3394796089069243,13.636363636363635,16.5,0,0,0,1,0,0,0,0,0
855,54675,3471,53737,8054,0.57,18,Moderate,6.348422496570645,14.730681298582532,98.28440786465478,1.167404902139762,31.578947368421055,10.26,0,0,0,0,0,0,0,0,0
709,52427,2872,88352,1143,0.91,1,Severe,5.478093348846968,2.180174337650447,168.52385221355408,1.0352762477688353,1.0989010989010988,0.91,0,1,0,0,0,0,0,0,0
54,33094,1890,58920,400,0.95,10,Severe,5.711005016014988,1.2086783102677223,178.0383151024355,0.7077178974102025,10.526315789473685,9.5,0,0,1,0,0,0,0,0,0
148,83397,1772,68715,2191,2.96,7,Severe,2.1247766706236435,2.627192824681943,82.3950501816612,1.6425323244854642,2.364864864864865,20.72,0,1,0,0,0,0,0,0,0
166,34618,2838,56880,5683,0.75,3,Mild,8.198047258651568,16.41631521173956,164.3075856490843,0.7391535967494152,4.0,2.25,0,0,0,0,0,0,0,1,0
237,45000,2551,93382,823,2.32,14,Moderate,5.668888888888889,1.828888888888889,207.51555555555555,0.8418210722405947,6.03448275862069,32.48,0,0,0,0,0,0,0,0,1
221,74913,2798,57817,7090,2.64,8,Mild,3.7349992658150124,9.46431193517814,77.17886081187511,1.599520867562798,3.0303030303030303,21.12,0,0,0,0,0,0,0,0,1
440,79385,4120,44086,2254,1.26,3,Moderate,5.189897335768722,2.839327328840461,55.53442086036405,1.5809162882073025,2.380952380952381,3.7800000000000002,0,0,0,0,0,1,0,0,0
178,48554,2971,47814,8236,1.01,3,Critical,6.118960332825308,16.962557152860732,98.4759237138032,0.9704336911616863,2.9702970297029703,3.0300000000000002,1,0,0,0,0,0,0,0,0
636,55320,3552,64536,1716,2.05,18,Moderate,6.4208242950108465,3.1019522776572668,116.65943600867679,1.1811767569523846,8.78048780487805,36.9,1,0,0,0,0,0,0,0,0
639,21183,448,4972,3520,1.36,1,Mild,2.114903460321956,16.61709861681537,23.47165179625171,0.45300018797486913,0.7352941176470588,1.36,0,0,1,0,0,0,0,0,0
736,56799,4814,22387,2165,1.04,18,Mild,8.475501329248754,3.8116868254722798,39.41442631032236,1.2127559403134218,17.307692307692307,18.72,0,0,0,0,1,0,0,0,0
370,78782,3560,20972,7202,1.11,9,Mild,4.518798710365312,9.141682110126679,26.620293975781266,1.6847595151317631,8.108108108108107,9.99,0,1,0,0,0,0,0,0,0
914,18299,4928,84748,4592,2.99,18,Critical,26.930433357014046,25.094267446308542,463.12913273949397,0.44638566413863595,6.020066889632107,53.82000000000001,0,0,0,0,0,0,0,0,1
937,12050,4108,81056,6058,0.84,13,Mild,34.09128630705394,50.27385892116183,672.6639004149378,0.2939476065834506,15.476190476190476,10.92,0,0,0,0,0,0,0,0,0
41,1225,3499,30184,2557,1.22,1,Moderate,285.6326530612245,208.73469387755102,2464.0,0.02419008151366325,0.819672131147541,1.22,1,0,0,0,0,0,0,0,0
857,19071,2850,27614,2331,0.63,10,Critical,14.944156048450527,12.2227465785748,144.7957632006712,0.4071985164829885,15.873015873015873,6.3,0,0,0,0,1,0,0,0,0
295,29033,2156,75083,2897,2.73,12,Mild,7.426032445837495,9.978300554541383,258.61261323321736,0.620873080181012,4.395604395604396,32.76,0,0,0,0,0,0,0,0,0
480,17397,2804,9393,5820,0.57,6,Critical,16.11772144622636,33.454043800655285,53.992067597861706,0.3254480265282139,10.526315789473685,3.42,0,1,0,0,0,0,0,0,0
471,68903,4138,47049,7098,1.92,15,Moderate,6.00554402565926,10.301438253777048,68.28294849280873,1.2889777186798599,7.8125,28.799999999999997,0,1,0,0,0,0,0,0,0
162,8572,4647,52545,4534,0.97,14,Critical,54.21138590760616,52.89314045730285,612.9841343910406,0.16420376975229406,14.43298969072165,13.58,0,0,0,0,0,0,0,0,1
192,79776,3906,34535,8032,1.98,6,Moderate,4.896209386281589,10.068190934616927,43.289961893301246,1.5281754474753864,3.0303030303030303,11.879999999999999,0,0,1,0,0,0,0,0,0
721,33055,2,60430,188,1.56,1,Mild,0.00605052185751021,0.5687490546059598,182.816517924671,0.6183643453980635,0.641025641025641,1.56,0,0,1,0,0,0,0,0,0
106,27616,1676,8647,2655,1.29,8,Moderate,6.068945538818076,9.613991888760138,31.311558516801853,0.5439065274888855,6.201550387596899,10.32,0,0,0,1,0,0,0,0,0
417,6131,1306,85728,5043,2.54,15,Mild,21.30158212363399,82.25411841461425,1398.2710813896592,0.12209608569627728,5.905511811023622,38.1,0,0,0,0,0,0,0,1,0
331,88396,658,45989,7976,2.89,18,Moderate,0.7443775736458663,9.023032716412507,52.02610977872302,1.7603662683425423,6.228373702422145,52.02,0,0,0,0,0,1,0,0,0
17,85220,2606,44723,8802,0.81,9,Severe,3.0579676132363294,10.328561370570288,52.47946491433936,1.5942220394742996,11.11111111111111,7.290000000000001,0,0,1,0,0,0,0,0,0
42,67165,492,10395,3174,2.31,7,Mild,0.7325243802575747,4.725675575076305,15.476810838978636,1.6384224893093329,3.0303030303030303,16.17,0,0,0,0,0,0,0,1,0
3,29239,2409,16401,385,0.98,16,Moderate,8.238995861691576,1.3167344984438591,56.092889633708396,0.7132559393272625,16.3265306122449,15.68,0,0,0,0,0,0,1,0,0
677,51251,1621,89924,5892,0.51,14,Mild,3.162865114827028,11.496361046613725,175.458039843125,1.0120537695157186,27.45098039215686,7.140000000000001,0,0,0,0,0,0,0,0,0
990,21707,2103,84627,6095,2.06,18,Severe,9.688119039941032,28.078500023034042,389.86041369143595,0.4318651932809121,8.737864077669903,37.08,0,0,1,0,0,0,0,0,0
681,81542,2994,53361,3209,2.58,5,Critical,3.671727453336931,3.9353952564322685,65.439896004513,1.741061372295939,1.937984496124031,12.9,0,0,1,0,0,0,0,0,0
260,49778,2916,35994,3796,1.32,2,Critical,5.858009562457311,7.625858813130298,72.30905219173128,0.9803946670532205,1.5151515151515151,2.64,1,0,0,0,0,0,0,0,0
524,23273,4744,57846,6390,1.29,18,Severe,20.384136123404804,27.456709491685643,248.55411850642378,0.46302108274872933,13.953488372093023,23.22,0,0,0,0,0,1,0,0,0
